label_idx,support,predictions,code,frequency,stratum,precision,recall,f1
0,0,6222,4019,22398,head,0.0,0.0,0.0
1,0,3605,4280,14931,head,0.0,0.0,0.0
2,0,4993,42731,14479,head,0.0,0.0,0.0
3,0,1584,41401,13801,head,0.0,0.0,0.0
4,0,1868,5849,9942,head,0.0,0.0,0.0
5,0,2258,25000,9831,head,0.0,0.0,0.0
6,0,7986,2724,9279,head,0.0,0.0,0.0
7,0,1025,51881,8270,head,0.0,0.0,0.0
8,0,2538,5990,7499,head,0.0,0.0,0.0
9,0,5908,53081,6738,head,0.0,0.0,0.0
10,0,1653,2720,6475,head,0.0,0.0,0.0
11,0,5,2859,5872,head,0.0,0.0,0.0
12,0,360,486,5356,head,0.0,0.0,0.0
13,0,3701,2449,5281,head,0.0,0.0,0.0
14,0,779,2851,5081,head,0.0,0.0,0.0
15,0,1964,496,4917,head,0.0,0.0,0.0
16,0,477,2762,4812,head,0.0,0.0,0.0
17,0,694,5070,4252,head,0.0,0.0,0.0
18,0,839,99592,4086,head,0.0,0.0,0.0
19,0,1149,V5861,4059,head,0.0,0.0,0.0
20,0,921,0389,4003,head,0.0,0.0,0.0
21,0,2259,311,3668,head,0.0,0.0,0.0
22,0,2609,5859,3609,head,0.0,0.0,0.0
23,0,2970,40390,3601,head,0.0,0.0,0.0
24,0,261,3051,3582,head,0.0,0.0,0.0
25,0,1010,412,3582,head,0.0,0.0,0.0
26,0,906,41071,3502,head,0.0,0.0,0.0
27,0,409,2875,3353,head,0.0,0.0,0.0
28,0,1623,2761,3334,head,0.0,0.0,0.0
29,0,426,4240,3311,head,0.0,0.0,0.0
30,0,1681,V4581,3246,head,0.0,0.0,0.0
31,0,684,5119,3157,head,0.0,0.0,0.0
32,0,0,V1582,2982,head,0.0,0.0,0.0
33,0,1650,V4582,2942,head,0.0,0.0,0.0
34,0,952,40391,2919,head,0.0,0.0,0.0
35,0,1615,4241,2913,head,0.0,0.0,0.0
36,0,2570,V5867,2728,head,0.0,0.0,0.0
37,0,660,78552,2712,head,0.0,0.0,0.0
38,0,189,9971,2702,head,0.0,0.0,0.0
39,0,30,V290,2697,head,0.0,0.0,0.0
40,0,330,42789,2671,head,0.0,0.0,0.0
41,0,27,5845,2621,head,0.0,0.0,0.0
42,0,2628,32723,2504,head,0.0,0.0,0.0
43,0,34,7742,2495,head,0.0,0.0,0.0
44,0,501,5180,2468,head,0.0,0.0,0.0
45,0,379,2760,2466,head,0.0,0.0,0.0
46,0,1366,4168,2344,head,0.0,0.0,0.0
47,0,44,45829,2341,head,0.0,0.0,0.0
48,0,920,2767,2325,head,0.0,0.0,0.0
49,0,1979,49390,2304,head,0.0,0.0,0.0
